Rank,Name,Year,Rating,Link,Director
226,Rocky,1976,8.0,https://www.imdb.com/title/tt0075148/,Sylvester Stallone
227,"Monsters, Inc.",2001,8.0,https://www.imdb.com/title/tt0198781/,Pete Docter
228,It Happened One Night,1934,8.0,https://www.imdb.com/title/tt0025316/,Robert Riskin
229,Gangs of Wasseypur,2012,8.0,https://www.imdb.com/title/tt1954470/,Anurag Kashyap
230,La haine,1995,8.0,https://www.imdb.com/title/tt0113247/,Mathieu Kassovitz
231,Ah-ga-ssi,2016,8.0,https://www.imdb.com/title/tt4016934/,Chan-wook Park
232,Lagaan: Once Upon a Time in India,2001,8.0,https://www.imdb.com/title/tt0169102/,Ashutosh Gowariker
233,The Princess Bride,1987,8.0,https://www.imdb.com/title/tt0093779/,Rob Reiner
234,Munna Bhai M.B.B.S.,2003,8.0,https://www.imdb.com/title/tt0374887/,Rajkumar Hirani
235,PK,2014,8.0,https://www.imdb.com/title/tt2338151/,Rajkumar Hirani
236,Butch Cassidy and the Sundance Kid,1969,8.0,https://www.imdb.com/title/tt0064115/,George Roy Hill
237,Before Sunset,2004,8.0,https://www.imdb.com/title/tt0381681/,Richard Linklater
238,The Help,2011,8.0,https://www.imdb.com/title/tt1454029/,Kathryn Stockett
239,"Swades: We, the People",2004,8.0,https://www.imdb.com/title/tt0367110/,Ashutosh Gowariker
240,Akira,1988,8.0,https://www.imdb.com/title/tt0094625/,Katsuhiro Ôtomo
241,The Terminator,1984,8.0,https://www.imdb.com/title/tt0088247/,James Cameron
242,El ángel exterminador,1962,8.0,https://www.imdb.com/title/tt0056732/,Silvia Pinal
243,Faa yeung nin wa,2000,8.0,https://www.imdb.com/title/tt0118694/,Kar-Wai Wong
244,"Paris, Texas",1984,8.0,https://www.imdb.com/title/tt0087884/,Sam Shepard
245,Guardians of the Galaxy,2014,8.0,https://www.imdb.com/title/tt2015381/,James Gunn
246,Mou gaan dou,2002,8.0,https://www.imdb.com/title/tt0338564/,Andrew Lau
247,Aladdin,1992,8.0,https://www.imdb.com/title/tt0103639/,Ron Clements
248,La battaglia di Algeri,1966,8.0,https://www.imdb.com/title/tt0058946/,Franco Solinas
249,Drishyam,2015,8.0,https://www.imdb.com/title/tt4430212/,Nishikant Kamat
250,Chak De! India,2007,8.0,https://www.imdb.com/title/tt0871510/,Shimit Amin
